Region,Month of Period End,Median Sale Price,Median Sale Price MoM ,Median Sale Price YoY ,Homes Sold,Homes Sold MoM ,Homes Sold YoY ,New Listings,New Listings MoM ,New Listings YoY ,Inventory,Inventory MoM , Inventory YoY ,Days on Market,Days on Market MoM,Days on Market YoY,Average Sale To List,Average Sale To List MoM ,Average Sale To List YoY 
"Mission Hills, KS",May-12,$500K,-5.70%,-28.60%,7,75.00%,-22.20%,10,25.00%,-41.20%,,,,121,-143,-212,,,
"Mission Hills, KS",Jun-12,$700K,40.00%,-19.80%,7,0.00%,0.00%,8,-20.00%,60.00%,,,,114,-7,23,,,
"Mission Hills, KS",Jul-12,$853K,21.90%,9.40%,6,-14.30%,0.00%,6,-25.00%,20.00%,,,,85,-29,-261,,,
"Mission Hills, KS",Aug-12,$865K,1.40%,-0.30%,10,66.70%,66.70%,13,116.70%,225.00%,,,,168,83,41,,,
"Mission Hills, KS",Sep-12,$696K,-19.50%,,4,-60.00%,,6,-53.80%,,,,,128,-40,,,,
"Mission Hills, KS",Oct-12,$634K,-9.00%,-4.00%,6,50.00%,20.00%,5,-16.70%,-37.50%,,,,152,24,21,,,
"Mission Hills, KS",Nov-12,$625K,-1.30%,-10.40%,14,133.30%,250.00%,2,-60.00%,0.00%,,,,169,17,2,,,
"Mission Hills, KS",Dec-12,$693K,10.80%,-43.80%,6,-57.10%,0.00%,3,50.00%,50.00%,,,,122,-47,-295,,,
"Mission Hills, KS",Jan-13,$600K,-13.40%,-59.30%,1,-83.30%,-75.00%,6,100.00%,-14.30%,,,,496,374,217,,,
"Mission Hills, KS",Mar-13,$652K,,5.20%,4,,33.30%,10,,0.00%,,,,199,,41,,,
"Mission Hills, KS",Apr-13,"$1,432K",119.50%,170.10%,6,50.00%,50.00%,12,20.00%,50.00%,,,,163,-36,-101,,,
"Mission Hills, KS",May-13,"$1,060K",-26.00%,112.00%,14,133.30%,100.00%,12,0.00%,20.00%,,,,152,-11,31,,,
"Mission Hills, KS",Jun-13,"$1,200K",13.20%,71.40%,3,-78.60%,-57.10%,8,-33.30%,0.00%,,,,61,-91,-53,,,
"Mission Hills, KS",Jul-13,"$1,021K",-14.90%,19.60%,5,66.70%,-16.70%,5,-37.50%,-16.70%,,,,68,7,-17,,,
"Mission Hills, KS",Aug-13,$792K,-22.40%,-8.40%,8,60.00%,-20.00%,6,20.00%,-53.80%,,,,113,45,-55,,,
"Mission Hills, KS",Sep-13,$860K,8.60%,23.50%,5,-37.50%,25.00%,5,-16.70%,-16.70%,,,,208,95,80,,,
"Mission Hills, KS",Oct-13,"$1,113K",29.30%,75.60%,2,-60.00%,-66.70%,4,-20.00%,-20.00%,,,,160,-48,8,,,
"Mission Hills, KS",Nov-13,$823K,-26.00%,31.70%,9,350.00%,-35.70%,4,0.00%,100.00%,,,,127,-33,-42,,,
"Mission Hills, KS",Dec-13,$782K,-5.00%,12.90%,6,-33.30%,0.00%,3,-25.00%,0.00%,,,,174,47,52,,,
"Mission Hills, KS",Jan-14,$620K,-20.70%,3.30%,5,-16.70%,400.00%,7,133.30%,16.70%,,,,172,-2,-324,,,
"Mission Hills, KS",Feb-14,"$1,099K",77.20%,,2,-60.00%,,2,-71.40%,,,,,206,34,,,,
